,criterion,nEstimators,maxDepth,accuracy
0,entropy,50.0,5.0,0.8078651685393258
1,entropy,50.0,6.0,0.8078651685393259
2,entropy,50.0,7.0,0.8033707865168539
3,entropy,50.0,8.0,0.7955056179775281
4,entropy,50.0,9.0,0.7921348314606742
5,entropy,50.0,10.0,0.795505617977528
6,entropy,50.0,11.0,0.7876404494382022
7,entropy,50.0,12.0,0.8101123595505617
8,entropy,50.0,13.0,0.7775280898876404
9,entropy,50.0,14.0,0.802247191011236
10,entropy,50.0,15.0,0.7943820224719103
11,entropy,50.0,16.0,0.7988764044943821
12,entropy,50.0,17.0,0.7887640449438204
13,entropy,50.0,18.0,0.7685393258426967
14,entropy,50.0,19.0,0.7876404494382024
15,entropy,50.0,20.0,0.7910112359550563
16,entropy,60.0,5.0,0.8089887640449438
17,entropy,60.0,6.0,0.8146067415730338
18,entropy,60.0,7.0,0.8089887640449438
19,entropy,60.0,8.0,0.8179775280898877
20,entropy,60.0,9.0,0.8224719101123596
21,entropy,60.0,10.0,0.7921348314606742
22,entropy,60.0,11.0,0.802247191011236
23,entropy,60.0,12.0,0.801123595505618
24,entropy,60.0,13.0,0.8033707865168539
25,entropy,60.0,14.0,0.7820224719101124
26,entropy,60.0,15.0,0.8191011235955056
27,entropy,60.0,16.0,0.7898876404494383
28,entropy,60.0,17.0,0.8078651685393259
29,entropy,60.0,18.0,0.8213483146067416
30,entropy,60.0,19.0,0.8235955056179776
31,entropy,60.0,20.0,0.8269662921348315
32,entropy,70.0,5.0,0.8089887640449438
33,entropy,70.0,6.0,0.8067415730337079
34,entropy,70.0,7.0,0.8157303370786517
35,entropy,70.0,8.0,0.7943820224719101
36,entropy,70.0,9.0,0.7988764044943821
37,entropy,70.0,10.0,0.8112359550561798
38,entropy,70.0,11.0,0.8112359550561798
39,entropy,70.0,12.0,0.8011235955056181
40,entropy,70.0,13.0,0.7707865168539326
41,entropy,70.0,14.0,0.8044943820224718
42,entropy,70.0,15.0,0.7921348314606742
43,entropy,70.0,16.0,0.7842696629213484
44,entropy,70.0,17.0,0.7943820224719101
45,entropy,70.0,18.0,0.8191011235955056
46,entropy,70.0,19.0,0.7764044943820225
47,entropy,70.0,20.0,0.7865168539325842
48,entropy,80.0,5.0,0.8067415730337079
49,entropy,80.0,6.0,0.8269662921348315
50,entropy,80.0,7.0,0.8303370786516855
51,entropy,80.0,8.0,0.8067415730337079
52,entropy,80.0,9.0,0.798876404494382
53,entropy,80.0,10.0,0.7921348314606742
54,entropy,80.0,11.0,0.7876404494382023
55,entropy,80.0,12.0,0.7887640449438202
56,entropy,80.0,13.0,0.7932584269662921
57,entropy,80.0,14.0,0.7887640449438201
58,entropy,80.0,15.0,0.7707865168539326
59,entropy,80.0,16.0,0.797752808988764
60,entropy,80.0,17.0,0.757303370786517
61,entropy,80.0,18.0,0.8337078651685393
62,entropy,80.0,19.0,0.7797752808988764
63,entropy,80.0,20.0,0.8101123595505617
64,entropy,90.0,5.0,0.8112359550561798
65,entropy,90.0,6.0,0.80561797752809
66,entropy,90.0,7.0,0.8168539325842697
67,entropy,90.0,8.0,0.8033707865168541
68,entropy,90.0,9.0,0.8146067415730338
69,entropy,90.0,10.0,0.7865168539325842
70,entropy,90.0,11.0,0.8179775280898877
71,entropy,90.0,12.0,0.7730337078651686
72,entropy,90.0,13.0,0.7910112359550562
73,entropy,90.0,14.0,0.80561797752809
74,entropy,90.0,15.0,0.8179775280898877
75,entropy,90.0,16.0,0.7719101123595505
76,entropy,90.0,17.0,0.804494382022472
77,entropy,90.0,18.0,0.7853932584269663
78,entropy,90.0,19.0,0.8202247191011235
79,entropy,90.0,20.0,0.7617977528089888
80,entropy,100.0,5.0,0.8191011235955056
81,entropy,100.0,6.0,0.8101123595505617
82,entropy,100.0,7.0,0.8247191011235954
83,entropy,100.0,8.0,0.8179775280898877
84,entropy,100.0,9.0,0.8
85,entropy,100.0,10.0,0.80561797752809
86,entropy,100.0,11.0,0.8247191011235955
87,entropy,100.0,12.0,0.797752808988764
88,entropy,100.0,13.0,0.8134831460674157
89,entropy,100.0,14.0,0.797752808988764
